camera_id,camera_name,last_updated,image_url
1,Chichester Street,2025-04-25T16:47:05.255433,https://cctv.trafficwatchni.com/5.jpg?cache=1745599620000
2,Howard Street,2025-04-21T18:26:47.104994,https://cctv.trafficwatchni.com/14.jpg?cache=1745260000000
3,Shaftesbury Square,2025-04-21T18:26:47.414698,https://cctv.trafficwatchni.com/16.jpg?cache=1745260000000
4,M1 Sprucefield,2025-04-21T18:26:47.723943,https://cctv.trafficwatchni.com/6.jpg?cache=1745260000000
5,M2 Duncrue Street,2025-04-21T18:26:48.048656,https://cctv.trafficwatchni.com/7.jpg?cache=1745260000000
6,M2 Sandyknowes,2025-04-21T18:26:48.361848,https://cctv.trafficwatchni.com/13.jpg?cache=1745260000000
7,M3 Lagan Bridge,2025-04-21T18:26:48.676437,https://cctv.trafficwatchni.com/9.jpg?cache=1745260000000
9,A12 Clifton Street,2025-04-21T18:26:49.303467,https://cctv.trafficwatchni.com/8.jpg?cache=1745260000000
10,A12 Roden Street,2025-04-21T18:26:49.604319,https://cctv.trafficwatchni.com/4.jpg?cache=1745260000000
11,M1 Broadway,2025-04-21T18:26:49.906187,https://cctv.trafficwatchni.com/3.jpg?cache=1745260010000
12,M1 Stockmans Lane,2025-04-21T18:26:50.207162,https://cctv.trafficwatchni.com/12.jpg?cache=1745260010000
13,M1 Tamnamore,2025-04-21T18:26:50.851380,https://cctv.trafficwatchni.com/17.jpg?cache=1745260010000
14,"A2 Rathgael, Bangor",2025-04-21T18:26:51.164471,https://cctv.trafficwatchni.com/0.jpg?cache=1745260010000
15,A1 Banbridge,2025-04-21T18:26:51.489475,https://cctv.trafficwatchni.com/2.jpg?cache=1745260010000
17,M2 Templepatrick,2025-04-21T18:26:52.118052,https://cctv.trafficwatchni.com/15.jpg?cache=1745260010000
18,A1 Newry,2025-04-21T18:26:52.431297,https://cctv.trafficwatchni.com/1.jpg?cache=1745260010000
19,A24 Carryduff,2025-04-21T18:26:52.745277,https://cctv.trafficwatchni.com/2239-1.jpg?cache=1745260010000
20,Foyle Bridge,2025-04-21T18:26:53.051745,https://cctv.trafficwatchni.com/832-1.jpg?cache=1745260010000
21,A28 Markethill,2025-04-21T18:26:53.359317,https://cctv.trafficwatchni.com/823-1.jpg?cache=1745260010000
22,A6 Glenshane Pass,2025-04-21T18:26:53.664273,https://cctv.trafficwatchni.com/821-1.jpg?cache=1745260010000
23,A37 Coleraine Mountain,2025-04-21T18:26:53.972009,https://cctv.trafficwatchni.com/3239-1.jpg?cache=1745260010000
24,Albertbridge Road - Woodstock Link,2025-04-21T18:26:54.284622,https://cctv.trafficwatchni.com/3240.jpg?cache=1745260010000
25,Upper Newtownards Rd - Eastlink,2025-04-21T18:26:54.602805,https://cctv.trafficwatchni.com/3241.jpg?cache=1745260010000
26,Upper Newtownards Rd - Dunlady Rd,2025-04-21T18:26:54.910598,https://cctv.trafficwatchni.com/3242.jpg?cache=1745260010000
27,Castlereagh Rd - Grand Parade/ Ladas Dr,2025-04-21T18:26:55.220262,https://cctv.trafficwatchni.com/3243.jpg?cache=1745260010000
28,Falls Road - Donegall Road,2025-04-21T18:26:55.552007,https://cctv.trafficwatchni.com/3244.jpg?cache=1745260010000
29,Andersonstown Road / Kennedy Way,2025-04-21T18:26:55.861699,https://cctv.trafficwatchni.com/3245.jpg?cache=1745260010000
30,A2 Beeches Road,2025-04-21T18:26:56.160336,https://cctv.trafficwatchni.com/3246.jpg?cache=1745260010000
31,A2 Station Road,2025-04-21T18:26:56.467579,https://cctv.trafficwatchni.com/3247.jpg?cache=1745260010000
32,Prince William Rd - Lisburn North Feeder Rd,2025-04-21T18:26:56.774331,https://cctv.trafficwatchni.com/3248.jpg?cache=1745260010000
33,M1 - Blacks Rd - Jct 3,2025-04-21T18:26:57.077354,https://cctv.trafficwatchni.com/3249.jpg?cache=1745260010000
34,Saintfield Rd Roundabout Lisburn,2025-04-21T18:26:57.377373,https://cctv.trafficwatchni.com/3250.jpg?cache=1745260010000
35,M1 - Blaris - Jct 8,2025-04-21T18:26:57.677581,https://cctv.trafficwatchni.com/3251.jpg?cache=1745260010000
36,M2 - Greencastle - Jct 2,2025-04-21T18:26:57.981399,https://cctv.trafficwatchni.com/3252.jpg?cache=1745260010000
37,Scullions Rd,2025-04-21T18:26:58.294048,https://cctv.trafficwatchni.com/3253.jpg?cache=1745260010000
38,M2 - Browns Rd,2025-04-21T18:26:58.602077,https://cctv.trafficwatchni.com/3254.jpg?cache=1745260010000
39,A6 Randalstown,2025-04-21T18:26:58.910461,https://cctv.trafficwatchni.com/3255.jpg?cache=1745260010000
40,A6 Toome,2025-04-21T18:26:59.224569,https://cctv.trafficwatchni.com/3256.jpg?cache=1745260010000
41,Donegall Square South-Adelaide Street,2025-04-21T18:26:59.527305,https://cctv.trafficwatchni.com/3257.jpg?cache=1745260010000
42,Ormeau Road - Annadale Embankment,2025-04-21T18:26:59.833789,https://cctv.trafficwatchni.com/3258.jpg?cache=1745260010000
43,Saintfield Road - Primrose Hill,2025-04-21T18:27:00.145308,https://cctv.trafficwatchni.com/3259.jpg?cache=1745260020000
44,A2 - Tillysburn,2025-04-21T18:27:00.452539,https://cctv.trafficwatchni.com/3260.jpg?cache=1745260020000
45,A2 - Holywood Esplanade,2025-04-21T18:27:00.767211,https://cctv.trafficwatchni.com/3261.jpg?cache=1745260020000
46,A2 - Bangor Rd - Old Station Rd,2025-04-21T18:27:01.073898,https://cctv.trafficwatchni.com/3262.jpg?cache=1745260020000
47,A2 - Ballyrobert,2025-04-21T18:27:01.376608,https://cctv.trafficwatchni.com/3263.jpg?cache=1745260020000
